,arrival_month,Total_spend,no_of_special_requests,arrival_date,age,Usage_frequency,Support_calls,market_segment_type,type_plan,arrival_year,booking_status
9724,10,160,1,25,52,23,6,4,1,2024,1
9725,4,785,1,11,27,28,1,4,0,2024,1
9726,2,804,0,17,39,11,3,3,2,2024,1
9727,12,938,0,30,36,22,0,3,1,2023,1
9728,11,712,0,4,44,3,10,4,2,2024,0
9729,3,479,0,24,58,9,9,3,2,2024,1
9730,12,808,3,19,58,28,2,2,1,2024,1
9731,8,858,1,3,50,4,7,4,1,2024,1
9732,5,567,0,19,41,5,3,3,2,2024,0
9733,8,719,0,13,28,14,4,4,2,2023,0
9734,12,667,0,29,62,11,3,3,0,2023,1
9735,8,425,1,31,57,6,6,4,2,2023,1
9736,7,784,1,3,63,10,5,4,1,2024,1
9737,7,885,1,7,38,7,3,4,1,2024,1
9738,7,343,0,21,26,3,10,4,2,2024,1
9739,10,143,2,5,38,27,2,4,0,2023,1
9740,8,383,1,13,62,29,3,4,1,2024,1
9741,6,841,0,6,38,18,1,3,2,2024,1
9742,6,128,0,15,27,10,8,3,1,2024,1
9743,12,180,1,7,23,28,9,4,1,2024,1
9744,3,609,2,21,52,13,1,4,2,2024,1
9745,2,406,0,13,42,11,7,4,2,2024,0
9746,3,598,1,11,40,15,4,3,0,2024,1
9747,11,192,1,4,44,30,9,4,2,2024,0
9748,4,378,1,4,33,6,5,3,0,2024,1
9749,3,230,0,18,33,9,10,4,1,2024,0
9750,8,562,0,22,22,13,8,4,2,2024,0
9751,10,656,1,26,31,27,0,2,1,2024,1
9752,4,605,1,8,54,6,8,4,2,2024,1
9753,8,927,2,18,63,30,4,4,2,2023,1
9754,10,733,0,14,21,20,4,4,0,2024,0
9755,6,521,0,25,57,2,10,3,0,2024,0
9756,10,611,0,4,45,12,9,3,1,2023,1
9757,9,627,0,13,32,8,8,4,1,2023,1
9758,9,701,0,26,30,12,3,3,1,2024,0
9759,5,338,0,5,44,28,9,3,2,2024,0
9760,11,413,0,25,50,16,8,3,2,2024,1
9761,9,212,1,20,39,20,10,3,2,2024,0
9762,9,367,2,30,54,1,7,4,2,2024,1
9763,1,568,1,12,35,25,7,4,1,2024,1
9764,10,152,2,28,58,23,8,4,2,2024,1
9765,9,209,0,8,46,2,8,3,0,2024,0
9766,10,378,0,30,35,17,4,3,0,2023,0
9767,2,652,1,9,24,6,10,4,0,2024,0
9768,6,256,0,9,60,21,4,3,2,2024,1
9769,10,710,1,22,41,28,7,4,1,2024,0
9770,7,184,1,22,58,28,8,4,1,2024,1
9771,2,713,0,28,46,12,2,3,0,2024,0
9772,12,953,0,29,59,19,1,3,1,2023,1
9773,10,472,1,20,25,14,1,4,0,2024,0
9774,6,411,1,3,23,5,4,4,0,2024,1
9775,6,905,0,26,29,27,9,4,1,2024,0
9776,11,885,2,25,18,24,0,4,0,2024,1
9777,10,371,2,27,33,16,9,4,1,2024,1
9778,2,794,0,15,57,27,7,4,1,2024,1
9779,7,266,1,10,39,5,10,4,2,2023,0
9780,12,288,0,17,32,10,10,4,0,2024,0
9781,11,281,0,1,56,5,8,3,0,2024,1
9782,5,806,0,24,30,16,2,4,1,2024,0
9783,6,871,0,24,26,23,8,3,0,2024,1
9784,10,260,0,8,24,23,6,3,1,2023,1
9785,11,889,0,17,46,30,3,4,1,2024,0
9786,8,201,2,16,55,11,4,4,0,2024,1
9787,12,783,2,10,43,9,5,4,0,2024,1
9788,2,869,0,19,57,10,4,2,2,2024,1
9789,10,445,0,9,45,9,1,3,2,2023,1
9790,6,545,0,4,36,8,10,4,2,2024,1
9791,9,237,0,8,40,14,10,4,0,2024,0
9792,9,943,2,25,20,9,10,4,1,2024,1
9793,12,120,1,12,35,29,1,2,1,2024,1
9794,2,723,0,3,59,22,7,4,2,2024,1
9795,3,416,0,28,41,12,9,3,1,2024,0
9796,10,681,1,25,57,21,1,4,2,2024,1
9797,10,980,0,20,28,19,3,4,2,2024,0
9798,3,369,0,1,38,14,7,3,0,2024,1
9799,10,192,1,3,62,18,6,4,1,2024,0
9800,2,430,1,25,45,15,2,4,2,2024,1
9801,5,243,0,24,65,11,5,3,2,2024,1
9802,9,213,0,18,50,17,7,3,2,2023,1
9803,11,247,1,14,39,26,4,4,1,2023,1
9804,3,539,0,25,33,21,6,3,0,2024,0
9805,5,729,1,23,28,2,9,3,2,2024,1
9806,4,587,2,15,43,22,10,4,1,2024,1
9807,10,613,2,27,53,11,1,4,0,2024,0
9808,4,433,0,8,62,4,0,4,1,2024,1
9809,10,509,0,19,48,13,3,4,2,2023,1
9810,3,700,2,28,43,1,10,4,0,2024,1
9811,8,318,1,2,37,12,4,1,1,2024,1
9812,7,797,2,12,42,12,10,4,2,2024,1
9813,7,582,0,5,50,19,10,4,2,2024,0
9814,3,105,2,16,29,26,3,4,0,2024,1
9815,3,436,0,26,45,9,8,4,1,2024,0
9816,10,712,0,30,60,28,9,3,0,2023,0
9817,10,169,0,18,43,27,1,2,1,2023,1
9818,9,636,0,15,22,8,1,3,0,2024,0
9819,4,570,0,20,45,20,4,3,0,2024,0
9820,10,487,0,16,41,20,7,4,0,2023,0
9821,7,385,0,27,18,14,7,4,2,2024,0
9822,6,658,0,22,59,30,2,4,2,2024,0
9823,3,589,0,7,34,18,3,3,2,2024,1
9824,3,519,1,29,27,18,6,4,0,2024,0
9825,7,199,1,29,18,22,5,4,2,2023,1
9826,11,288,1,9,53,14,9,4,1,2024,1
9827,3,620,1,13,22,6,4,4,0,2024,1
9828,5,441,0,24,21,4,2,4,0,2024,1
9829,10,709,2,29,62,10,8,4,1,2024,1
9830,4,187,0,18,20,28,1,3,0,2024,1
9831,1,178,1,14,55,15,0,3,0,2024,1
9832,10,170,0,22,21,8,8,4,1,2024,0
9833,7,215,1,18,65,24,8,4,1,2024,1
9834,6,346,0,6,64,30,1,3,0,2024,0
9835,7,897,0,11,33,25,7,3,1,2024,1
9836,9,972,0,9,54,29,1,4,2,2024,0
9837,11,974,0,21,22,11,5,3,1,2024,1
9838,8,669,0,31,50,1,4,4,2,2024,0
9839,4,678,1,9,39,28,0,4,0,2024,1
9840,4,667,0,11,19,26,7,0,0,2024,1
9841,11,377,0,20,48,1,7,3,1,2024,1
9842,5,857,1,28,53,18,7,4,1,2024,1
9843,11,697,0,3,60,30,9,4,2,2024,0
9844,7,501,1,19,63,28,10,4,2,2023,0
9845,10,280,0,30,56,27,2,4,0,2024,0
9846,10,605,3,22,35,7,6,4,2,2024,1
9847,8,214,2,16,30,17,6,4,0,2024,1
9848,10,479,2,10,60,1,3,4,1,2024,1
9849,9,263,2,18,51,27,6,4,2,2024,1
9850,7,279,2,30,60,8,7,4,1,2024,0
9851,7,442,0,11,50,10,7,4,2,2023,1
9852,12,530,0,31,30,2,8,1,0,2023,1
9853,10,104,1,14,52,23,1,3,1,2024,1
9854,8,578,0,10,56,18,2,4,2,2023,1
9855,6,536,0,21,24,13,6,4,2,2024,0
9856,11,872,2,24,55,7,7,4,2,2023,1
9857,9,649,2,15,39,8,8,4,2,2024,1
9858,9,500,0,13,40,26,8,4,2,2023,1
9859,4,382,0,8,18,23,8,4,2,2024,1
9860,8,520,0,31,30,11,8,4,1,2024,0
9861,8,746,1,2,30,21,1,4,0,2024,0
9862,7,914,1,18,64,7,9,4,1,2024,1
9863,2,619,0,19,49,26,1,2,0,2024,1
9864,9,703,1,21,21,23,8,4,1,2024,1
9865,2,332,1,8,51,23,8,4,1,2024,0
9866,4,187,0,6,27,11,7,4,2,2024,0
9867,2,823,1,5,52,3,4,4,1,2024,1
9868,7,491,0,6,26,10,2,3,1,2024,0
9869,11,643,0,1,63,11,9,4,1,2024,0
9870,8,424,3,12,59,19,6,4,0,2023,1
9871,3,855,0,11,54,13,3,4,0,2024,0
9872,10,133,1,17,28,20,8,4,1,2023,1
9873,9,654,1,5,58,8,9,4,0,2023,1
9874,11,137,0,1,60,5,6,3,2,2024,0
9875,4,128,0,28,53,25,5,4,0,2024,0
9876,5,415,1,20,57,9,9,4,0,2024,1
9877,11,710,2,28,55,4,3,4,0,2023,1
9878,9,322,1,21,36,3,2,3,2,2024,0
9879,1,527,0,28,23,4,8,3,0,2024,1
9880,9,616,2,30,29,9,5,4,1,2024,1
9881,9,975,1,21,19,21,4,3,1,2024,0
9882,1,768,1,12,51,3,9,4,2,2024,1
9883,2,836,0,18,55,16,9,3,1,2024,1
9884,12,915,1,8,59,7,1,4,2,2024,1
9885,2,401,0,7,62,8,3,3,1,2024,1
9886,2,905,0,26,32,7,1,4,0,2024,1
9887,9,817,2,22,60,30,1,4,2,2023,1
9888,7,528,0,20,65,1,5,4,2,2024,0
9889,8,242,1,24,18,2,10,4,2,2024,0
9890,10,906,2,8,23,30,2,4,2,2024,1
9891,3,350,0,18,63,30,4,4,2,2024,1
9892,2,940,0,23,37,12,0,4,1,2024,1
9893,7,741,2,23,47,22,4,4,2,2024,1
9894,3,851,2,17,43,9,7,1,0,2024,1
9895,3,454,2,22,33,27,6,4,0,2024,1
9896,10,602,0,5,52,12,4,4,1,2024,0
9897,10,516,2,26,24,18,5,4,1,2024,0
9898,7,918,1,25,25,2,2,4,0,2024,1
9899,3,471,0,25,31,27,1,3,2,2024,0
9900,10,108,0,25,39,18,1,3,1,2024,1
9901,3,683,0,3,56,24,1,4,2,2024,0
9902,8,222,0,14,47,24,3,4,2,2024,0
9903,12,850,0,11,44,14,7,3,1,2024,1
9904,11,784,1,7,38,14,7,4,0,2024,1
9905,7,138,1,12,24,3,2,4,2,2024,1
9906,6,611,2,8,63,22,4,4,2,2024,1
9907,2,186,0,27,22,21,3,4,0,2024,0
9908,4,671,3,22,52,26,9,4,0,2024,1
9909,6,276,1,16,44,12,5,3,2,2024,1
9910,6,206,0,12,44,1,6,3,2,2024,0
9911,3,922,0,7,24,4,9,4,2,2024,1
9912,6,925,0,12,64,3,1,4,1,2024,0
9913,10,141,2,5,34,5,1,4,1,2023,1
9914,7,918,0,4,64,11,4,4,0,2024,1
9915,12,819,2,14,43,27,4,4,1,2024,1
9916,12,987,0,9,29,4,8,3,2,2024,1
9917,6,587,0,1,48,16,1,2,2,2024,1
9918,12,256,3,23,23,14,9,4,1,2024,1
9919,12,363,1,20,25,22,5,4,1,2023,1
9920,1,868,0,5,55,26,10,3,0,2024,1
9921,5,158,1,7,57,19,9,4,0,2024,1
9922,8,135,2,31,46,23,4,4,1,2023,0
9923,9,498,1,20,24,4,10,1,0,2023,1
9924,12,866,1,19,42,15,2,4,0,2023,1
9925,6,135,0,2,50,8,10,3,2,2024,1
9926,11,831,0,9,60,22,6,4,0,2024,0
9927,6,753,0,15,45,16,1,3,2,2024,0
9928,12,200,1,21,21,28,3,4,2,2024,1
9929,5,735,1,3,37,9,0,3,2,2024,1
9930,11,488,0,14,30,20,8,2,1,2024,1
9931,11,827,1,29,65,17,7,4,0,2023,0
9932,10,822,0,10,25,25,4,0,0,2024,1
9933,7,179,1,5,62,16,8,4,1,2024,1
9934,9,935,1,5,22,10,3,4,1,2024,0
9935,12,622,0,16,47,24,10,4,1,2024,1
9936,9,570,1,16,31,30,4,4,2,2024,1
9937,8,944,2,2,37,15,5,4,1,2024,1
9938,1,766,0,2,39,13,7,3,2,2024,1
9939,8,750,1,28,45,3,7,4,1,2024,1
9940,10,144,0,17,39,1,3,3,2,2023,1
9941,10,660,4,16,51,13,2,4,1,2024,1
9942,9,315,1,5,62,20,4,4,2,2024,0
9943,4,407,0,17,45,26,6,4,0,2024,1
9944,12,842,3,26,63,15,6,4,1,2024,1
9945,9,740,0,26,46,30,7,1,2,2023,1
9946,2,994,1,22,51,29,5,4,0,2024,1
9947,10,919,0,15,24,28,7,4,2,2024,1
9948,12,633,1,3,18,8,4,4,0,2024,1
9949,7,499,2,1,38,9,6,4,2,2024,1
9950,10,750,0,17,37,8,0,3,1,2023,1
9951,8,623,0,21,36,12,8,4,0,2024,0
9952,11,979,1,3,28,10,4,4,2,2024,0
9953,2,402,0,17,32,8,9,3,1,2024,1
9954,7,445,2,31,27,2,6,3,2,2024,0
9955,10,163,0,26,55,30,10,4,2,2024,1
9956,5,525,0,5,64,7,4,3,0,2024,0
9957,11,496,1,25,35,19,8,4,1,2024,0
9958,4,264,0,3,49,29,1,4,1,2024,0
9959,11,987,1,19,39,18,4,4,2,2024,0
9960,6,153,0,24,27,2,9,3,1,2024,1
9961,10,243,0,16,29,30,0,4,1,2024,0
9962,10,976,0,15,65,14,2,4,0,2024,0
9963,11,759,1,2,36,10,2,4,1,2023,1
9964,11,917,0,3,46,25,1,3,1,2024,0
9965,10,185,0,4,22,7,3,3,1,2024,0
9966,10,784,0,12,64,2,8,2,2,2024,1
9967,5,734,0,16,29,25,1,4,1,2024,1
9968,11,295,2,2,30,15,4,4,1,2024,1
9969,4,312,1,27,29,6,9,4,2,2024,1
9970,9,410,0,12,48,18,10,4,2,2024,1
9971,3,911,1,22,51,4,0,1,2,2024,1
9972,7,569,0,30,65,30,10,3,0,2024,1
9973,11,858,0,10,23,22,5,1,1,2023,1
9974,12,208,1,1,56,9,2,4,0,2024,0
9975,6,857,0,8,36,7,0,3,0,2024,1
9976,9,332,0,8,30,3,2,3,0,2023,1
9977,10,329,2,16,23,6,5,4,2,2024,1
9978,5,501,0,21,60,14,0,4,1,2024,0
9979,12,659,2,8,40,1,2,4,2,2024,1
9980,7,253,1,15,38,13,4,4,0,2024,1
9981,9,947,1,4,42,16,9,4,2,2023,1
9982,11,349,0,5,23,19,7,4,1,2024,0
9983,1,570,1,29,56,12,8,4,0,2024,1
9984,10,509,2,8,51,28,9,4,1,2024,1
9985,9,779,0,9,28,26,8,2,1,2023,1
9986,11,748,0,4,52,6,5,3,2,2024,0
9987,9,876,1,15,38,30,8,4,0,2024,1
9988,12,289,1,30,50,5,7,4,2,2024,1
9989,7,645,3,2,59,11,10,4,1,2024,1
9990,11,551,0,10,65,1,5,4,1,2024,0
9991,10,411,1,21,55,3,9,4,1,2023,1
9992,11,604,1,11,29,11,4,4,2,2023,1
9993,10,1000,0,2,21,21,0,3,2,2023,1
9994,11,118,1,20,35,12,5,4,2,2024,0
9995,1,563,0,20,27,16,8,4,0,2024,1
9996,5,339,0,13,52,28,8,3,0,2024,0
9997,6,614,0,1,20,8,8,4,0,2024,0
9998,7,492,1,5,20,13,1,4,2,2024,1
9999,9,550,0,16,37,17,1,4,2,2024,0
10000,3,852,0,16,24,10,3,4,2,2024,0
10001,9,529,0,1,34,20,4,4,2,2024,0
10002,12,367,0,16,44,16,3,4,0,2024,1
10003,6,485,0,24,62,20,9,3,1,2024,0
10004,4,137,0,20,27,9,4,3,2,2024,1
10005,2,142,0,9,42,18,1,4,1,2024,0
10006,12,216,1,28,41,27,1,4,1,2024,1
10007,12,953,0,27,61,9,7,3,2,2024,1
10008,9,364,1,11,61,6,0,4,2,2023,0
10009,10,732,0,13,60,18,4,3,0,2024,1
10010,8,626,1,7,22,13,6,4,1,2023,1
10011,11,798,0,1,63,8,1,4,0,2024,0
10012,11,672,1,10,57,23,1,4,2,2023,1
10013,4,201,1,24,61,28,10,4,2,2024,1
10014,11,136,1,14,33,4,7,3,2,2024,1
10015,4,574,0,7,37,17,10,4,2,2024,1
10016,12,792,2,29,26,4,7,4,1,2024,1
10017,6,305,2,27,45,26,3,4,2,2024,1
10018,10,860,2,1,42,13,6,4,0,2023,1
10019,9,580,0,18,18,4,10,3,0,2023,1
10020,2,173,1,26,22,8,0,2,2,2024,1
10021,6,568,1,2,65,17,10,4,1,2024,1
10022,12,483,1,23,35,5,2,4,2,2024,1
10023,10,708,1,8,32,12,10,4,0,2024,0
10024,12,389,0,3,35,13,0,4,0,2024,1
10025,1,303,2,8,53,24,7,4,2,2024,1
10026,12,274,1,27,64,19,4,4,2,2024,0
10027,9,767,0,10,39,28,3,4,2,2024,0
10028,4,929,1,10,37,30,7,4,0,2024,1
10029,8,735,1,4,33,19,2,4,1,2024,0
10030,5,725,0,20,43,29,6,2,0,2024,0
10031,3,324,1,9,50,12,10,2,0,2024,1
10032,4,155,1,16,57,27,9,4,0,2024,0
10033,4,258,1,22,60,15,1,4,2,2024,1
10034,12,486,0,26,65,21,9,4,0,2024,0
10035,10,215,0,13,56,8,6,3,2,2023,1
10036,3,715,0,12,65,13,3,3,1,2024,1
10037,5,890,0,31,60,21,8,2,2,2024,0
10038,9,524,0,23,31,12,4,4,0,2024,0
10039,12,604,2,28,47,21,9,4,2,2024,1
10040,3,223,1,8,65,28,0,4,2,2024,1
10041,8,613,1,9,20,12,0,3,1,2024,0
10042,11,992,2,14,43,6,1,4,2,2024,0
10043,6,464,1,30,64,21,0,4,0,2024,0
10044,5,361,1,18,33,18,1,4,2,2024,1
10045,3,687,1,1,46,10,9,2,0,2024,1
10046,6,251,0,8,25,25,2,4,0,2024,0
10047,2,287,1,14,24,7,5,3,1,2024,1
10048,12,698,1,3,44,13,9,4,2,2023,1
10049,9,412,0,17,37,29,6,4,2,2023,1
10050,7,136,0,13,57,3,0,3,2,2024,1
10051,10,634,0,5,42,24,5,3,2,2023,1
10052,3,167,1,16,27,30,4,4,2,2024,1
10053,10,376,1,22,58,5,5,4,2,2024,1
10054,6,262,0,27,46,4,9,3,1,2024,1
10055,8,547,0,19,40,4,5,3,1,2024,0
10056,6,507,0,15,35,28,4,4,0,2024,0
10057,10,750,0,2,53,24,8,3,2,2023,1
10058,12,611,0,3,21,20,4,4,2,2024,1
10059,12,740,2,27,58,3,7,3,1,2024,1
10060,9,837,1,25,35,10,3,4,2,2024,1
10061,7,849,0,15,36,13,6,4,2,2024,0
10062,3,480,0,16,56,26,6,4,1,2024,1
10063,11,577,1,16,30,7,10,4,0,2024,1
10064,12,641,2,28,21,5,1,3,1,2023,1
10065,9,475,0,29,54,11,0,2,0,2023,1
10066,7,811,0,14,62,10,4,4,0,2024,0
10067,4,408,1,4,24,6,3,4,0,2024,0
10068,10,618,1,28,62,18,8,4,2,2024,0
10069,2,312,0,18,63,3,4,3,2,2024,1
10070,2,790,0,18,45,24,4,4,2,2024,1
10071,8,944,2,5,42,13,10,4,2,2024,1
10072,12,767,0,5,43,25,1,2,2,2024,1
10073,7,962,1,13,61,27,6,4,0,2024,1
10074,4,183,0,24,27,4,6,4,1,2024,1
10075,5,969,0,31,63,23,9,4,0,2024,1
10076,3,867,0,31,49,14,6,4,2,2024,1
10077,6,478,0,6,59,15,6,0,0,2024,1
10078,10,426,0,9,53,11,5,3,1,2024,1
10079,5,106,1,23,39,9,4,4,1,2024,1
10080,5,923,0,2,50,17,0,4,1,2024,0
10081,4,712,0,18,22,5,9,4,1,2024,0
10082,5,927,0,4,27,4,7,2,0,2024,1
10083,7,841,0,31,47,5,7,4,0,2024,1
10084,2,787,2,15,54,21,6,4,2,2024,1
10085,3,130,0,17,24,20,9,3,0,2024,0
10086,9,969,1,18,19,27,9,4,2,2023,0
10087,9,592,0,10,44,23,9,3,0,2024,1
10088,8,518,0,8,28,21,7,3,2,2024,1
10089,10,631,0,10,54,10,4,3,0,2024,0
10090,5,431,1,2,18,2,9,4,2,2024,1
10091,6,153,0,8,56,27,10,4,2,2024,0
10092,10,110,0,16,53,25,9,4,0,2024,0
10093,8,133,0,14,40,12,0,3,2,2023,1
10094,5,168,0,5,40,15,10,3,2,2024,1
10095,11,140,1,19,46,16,0,4,2,2024,1
10096,8,670,1,17,56,10,8,4,2,2024,0
10097,10,325,0,15,23,16,10,3,0,2024,0
10098,4,379,1,8,26,25,1,4,0,2024,1
10099,12,948,1,30,52,23,6,4,2,2023,1
10100,7,374,0,6,61,24,3,3,2,2024,0
10101,5,359,0,10,60,27,6,4,0,2024,1
10102,6,208,0,2,47,12,10,4,0,2024,0
10103,6,172,1,15,27,24,8,4,1,2024,0
10104,11,630,0,4,29,9,10,3,1,2023,1
10105,7,621,0,16,41,1,6,4,2,2024,0
10106,9,521,1,12,52,28,10,4,2,2024,1
10107,5,974,0,10,49,14,4,4,2,2024,1
10108,4,775,1,3,51,8,6,4,0,2024,1
10109,6,358,1,12,59,21,5,4,2,2024,0
10110,7,165,1,1,28,30,9,4,0,2024,1
10111,12,228,1,16,30,1,1,4,1,2023,1
10112,2,454,1,20,19,23,1,3,2,2024,1
10113,10,676,0,10,59,19,1,4,0,2024,0
10114,12,612,1,21,26,24,10,4,1,2024,1
10115,5,573,1,14,34,16,7,3,2,2024,1
10116,6,278,2,10,36,13,0,4,1,2024,1
10117,7,963,1,10,65,1,1,4,2,2024,1
10118,3,443,0,28,30,20,9,4,1,2024,1
10119,10,923,0,2,39,25,6,3,0,2023,1
10120,3,692,0,16,50,17,1,2,0,2024,1
10121,9,121,1,14,47,18,3,4,1,2024,0
10122,8,853,0,30,36,30,1,4,1,2024,0
10123,12,811,0,5,65,2,0,4,2,2024,1
10124,11,903,2,4,63,20,3,3,0,2023,1
10125,12,371,1,31,30,22,6,4,1,2023,1
10126,9,133,1,13,57,25,4,3,2,2024,0
10127,10,238,1,14,31,4,6,4,0,2024,0
10128,4,479,0,20,39,3,7,4,1,2024,0
10129,8,523,1,20,27,3,8,4,0,2024,1
10130,10,409,0,16,48,16,5,3,1,2024,0
10131,10,338,0,2,24,5,9,3,1,2023,1
10132,12,436,1,20,36,1,6,4,0,2024,1
10133,1,194,1,10,32,4,10,4,1,2024,1
10134,2,366,0,7,20,8,9,4,1,2024,0
10135,5,397,0,16,30,7,6,4,0,2024,0
10136,8,349,1,9,53,27,3,4,0,2023,1
10137,8,143,1,6,41,20,9,4,1,2024,1
10138,10,633,2,27,31,2,7,4,2,2024,0
10139,9,223,1,15,20,17,7,4,1,2023,1
10140,7,858,1,18,23,21,2,4,1,2024,1
10141,7,583,1,28,59,12,3,4,2,2024,1
10142,6,332,0,15,21,6,2,3,2,2024,0
10143,8,870,1,16,19,6,7,4,1,2024,0
10144,1,856,1,28,22,6,8,4,0,2024,1
10145,10,180,1,4,61,10,10,4,0,2023,0
10146,5,439,0,1,31,1,0,3,0,2024,1
10147,10,473,0,28,21,30,3,4,1,2024,0
10148,3,501,0,24,19,29,8,3,2,2024,1
10149,4,301,1,1,52,26,0,2,2,2024,1
10150,10,839,0,20,47,19,3,3,0,2023,1
10151,5,266,1,11,64,21,9,4,0,2024,1
10152,4,925,0,12,59,27,8,4,1,2024,0
10153,10,813,1,30,44,25,6,4,2,2024,0
10154,1,508,1,2,58,22,5,3,2,2024,1
10155,11,686,2,13,19,15,7,4,1,2024,1
10156,8,716,0,4,30,8,0,4,1,2024,0
10157,11,877,0,1,31,14,1,4,1,2024,0
10158,9,380,1,25,40,4,1,4,2,2024,0
10159,3,375,1,19,45,16,8,4,1,2024,1
10160,9,954,0,18,58,9,3,3,1,2023,1
10161,6,786,1,8,28,28,10,3,2,2024,1
10162,5,444,0,7,37,28,1,4,0,2024,1
10163,2,434,0,13,63,28,0,4,2,2024,1
10164,10,719,0,4,41,22,6,4,1,2024,1
10165,5,909,2,8,27,3,8,4,1,2024,1
10166,12,206,0,29,59,28,1,3,0,2024,1
10167,2,963,1,5,22,12,0,4,2,2024,1
10168,10,127,0,6,19,10,1,4,2,2024,0
10169,10,597,0,30,19,19,0,3,1,2023,0
10170,7,749,1,11,30,15,4,4,0,2024,1
10171,7,716,0,14,30,20,2,4,0,2024,0
10172,8,735,0,22,56,21,8,4,0,2024,0
10173,1,710,0,26,52,29,1,4,0,2024,1
10174,5,250,0,17,38,14,1,3,2,2024,1
10175,11,416,1,7,27,17,10,3,2,2023,1
10176,5,433,1,11,40,27,2,4,0,2024,0
10177,1,372,0,8,47,18,2,4,1,2024,1
10178,11,418,0,25,35,25,5,3,1,2024,1
10179,1,957,1,8,58,12,8,4,0,2024,1
10180,6,593,0,14,60,19,0,3,0,2024,1
10181,9,323,1,9,26,2,8,4,1,2024,1
10182,5,760,0,20,41,28,7,3,0,2024,0
10183,1,730,1,6,46,26,1,4,0,2024,1
10184,11,549,2,14,61,13,8,4,0,2024,1
10185,10,513,0,4,59,29,8,3,1,2023,1
10186,7,231,1,6,53,21,7,4,0,2024,1
10187,4,128,0,17,33,5,8,4,2,2024,1
10188,6,607,0,26,42,9,0,4,0,2024,0
10189,12,171,0,27,34,28,9,4,2,2024,1
10190,9,129,2,15,38,19,7,4,2,2024,1
10191,7,699,1,8,21,3,8,4,1,2024,1
10192,5,395,1,1,55,20,0,4,2,2024,1
10193,11,941,2,17,24,15,8,4,2,2024,1
10194,5,744,2,13,55,6,3,4,1,2024,1
10195,7,879,0,12,47,18,9,4,1,2024,0
10196,5,339,0,19,43,4,7,2,2,2024,0
10197,5,840,0,10,44,19,2,4,0,2024,1
10198,2,333,0,19,40,5,9,2,2,2024,1
10199,3,513,2,28,61,12,7,4,1,2024,1
10200,5,334,2,4,18,10,0,1,2,2024,1
10201,4,338,1,2,27,1,1,4,2,2024,0
10202,6,822,3,18,36,10,0,3,2,2024,1
10203,5,845,2,4,30,10,4,4,1,2024,0
10204,7,623,0,14,59,2,2,3,0,2024,1
10205,5,264,0,13,59,26,2,3,1,2024,0
10206,10,280,0,16,57,4,0,3,0,2023,0
10207,5,444,0,13,58,9,3,3,1,2024,0
10208,3,238,0,6,39,10,10,4,0,2024,1
10209,10,272,0,5,53,25,3,2,2,2023,1
10210,8,640,2,10,18,18,0,4,0,2024,0
10211,12,192,1,4,35,3,8,4,2,2024,1
10212,4,761,0,30,36,30,4,4,2,2024,0
10213,4,338,0,16,30,26,7,4,2,2024,1
10214,3,180,2,24,42,28,4,4,1,2024,1
10215,5,339,2,2,50,12,9,4,0,2024,0
10216,12,844,2,11,27,22,3,4,0,2024,1
10217,10,584,0,9,33,23,5,3,0,2023,1
10218,9,614,0,23,53,5,5,3,1,2023,1
10219,3,173,0,4,28,25,7,3,2,2024,1
10220,11,753,2,23,63,22,2,4,1,2023,1
10221,8,716,2,17,29,25,9,1,2,2024,1
10222,12,718,0,1,59,25,8,2,0,2023,1
10223,2,680,0,19,20,8,10,2,1,2024,1
10224,10,386,1,31,65,9,3,4,1,2024,1
10225,2,205,2,14,33,16,2,3,0,2024,1
10226,9,250,0,19,52,27,8,4,2,2023,0
10227,10,318,1,18,39,25,8,3,0,2023,1
10228,7,598,1,23,41,12,6,4,1,2024,0
10229,3,857,0,1,56,11,1,4,2,2024,0
10230,3,381,1,28,59,24,4,1,0,2024,1
10231,9,819,3,5,41,24,1,4,2,2023,1
10232,12,804,0,7,23,17,6,4,0,2024,1
10233,3,316,1,7,42,9,6,4,2,2024,0
10234,4,932,0,23,41,19,5,4,1,2024,0
10235,9,776,0,4,18,5,7,3,0,2023,1
10236,9,441,0,17,51,16,8,3,2,2023,1
10237,12,156,0,4,62,8,10,3,2,2023,1
10238,6,186,0,27,25,11,8,4,2,2024,0
10239,9,373,1,15,32,10,6,4,1,2023,1
10240,2,282,1,12,40,12,10,4,1,2024,1
10241,12,221,0,16,44,2,1,4,1,2024,1
10242,8,860,0,15,23,16,0,4,1,2023,1
10243,12,612,2,25,54,8,0,4,2,2024,1
10244,10,721,0,26,50,25,10,4,0,2024,0
10245,8,300,0,22,28,27,1,4,1,2024,0
10246,10,789,2,13,55,7,5,3,0,2024,1
10247,8,358,1,10,55,29,7,4,1,2024,1
10248,5,872,0,29,53,29,8,4,1,2024,1
10249,11,717,0,9,22,25,5,4,0,2024,0
10250,9,235,1,5,58,26,10,3,0,2024,1
10251,4,508,0,13,54,10,7,2,2,2024,1
10252,12,386,0,17,65,13,9,3,0,2024,1
10253,11,370,0,3,34,25,1,4,1,2023,1
10254,10,711,0,9,50,3,0,3,2,2023,0
10255,8,918,0,8,38,4,4,4,0,2024,0
10256,6,574,0,2,31,6,0,4,2,2024,0
10257,8,826,1,14,59,25,7,4,2,2024,1
10258,10,104,2,31,54,27,4,4,0,2024,1
